  Runcat       RA      DEC     Eta       V    Dists eta    Dists V     Percentage
--------  -------  -------  ------  ------  -----------  ---------  -------------
   43311  59.5433  65.8314   1.594  -1.216        1.280      0.867   0.4054717145
   43418  62.2790  64.3228   0.044  -0.516        0.210      0.628   0.6392488620
   43281  58.5112  66.3551   1.419  -1.184        1.191      0.730   0.6485136773
   43419  62.2662  64.3426   0.486  -1.947        0.026      0.423   1.4641513096
   43450  63.2288  66.6295   0.817  -0.112        0.999      0.999   2.0711811418
   43256  57.6253  65.8438   0.605  -0.169        0.980      0.565   3.9704812137
   43314  59.5997  65.8613   0.284  -1.633        0.021      0.351   4.6627036779
   43286  58.8916  65.6653   1.201  -1.345        0.969      0.578   5.1444696767
   43390  61.4472  64.9143   0.419  -0.109        0.686      0.838   5.1887808491
   43443  63.0121  67.3113   0.097  -0.199        0.406      0.663   5.9165595632
   43308  59.5553  65.8107   0.148  -0.327        0.401      0.647   7.2633235310
   43472  63.6507  65.4913   0.457   0.094        0.824      0.845   8.8197473273
   43387  61.4651  63.0429   0.261   0.010        0.631      0.753  11.7289219634
   43541  66.4613  65.2311   0.568  -0.033        0.927      0.733  13.2895444969
   43451  63.2491  66.5891   0.343  -0.496        0.503      0.660  15.8903272424
   43247  56.7835  65.5821   0.544  -0.781        0.716      0.350  16.3143901665
   43428  62.5111  65.0488   0.643  -1.114        0.669      0.303  17.3388137484
   43420  62.3268  65.8070   0.495  -1.196        0.542      0.180  18.7231328123
   43386  61.4477  63.0770   0.291   0.036        0.688      0.727  20.2281449485
   43543  66.4081  64.3318  -0.156  -0.231        0.245      0.452  20.7544097058
   43306  59.7397  63.1447   0.443  -0.130        0.829      0.582  23.2050595660
   43412  62.0657  66.4409   0.540  -1.289        0.529      0.199  26.7896196331
   43394  61.5937  65.9861   0.389  -0.070        0.752      0.686  28.8448801348
   43480  63.8173  63.1058  -0.275  -0.761        0.003      0.163  29.7944971209
   43499  64.7272  65.0182   0.359  -0.376        0.591      0.638  32.9045176071
   43356  60.7663  63.9560   0.190  -0.357        0.469      0.564  36.7478353646
   43277  58.7261  63.9889   0.279  -1.520        0.245      0.014  39.3150555256
   43442  62.9645  67.3152   0.838  -1.209        0.707      0.515  45.3103073192
   43498  64.7133  65.0587   0.349  -0.341        0.618      0.602  45.4464839774
   43482  64.0661  63.9534   0.258  -0.205        0.668      0.459  49.8622487462
   43258  57.7673  64.9950   0.374  -1.403        0.349      0.115  51.5336777132
   43509  64.8885  64.1105   0.209  -1.821        0.023      0.014  51.5531534488
   43330  60.3184  64.3459  -0.296  -0.788        0.026      0.050  52.7357782387
   43380  61.3504  64.9201   0.232  -0.382        0.511      0.542  52.9607864667
   43523  65.3436  64.0936  -0.311  -0.781        0.035      0.009  53.0436636846
   43444  62.9549  64.9553  -0.320  -0.742        0.039      0.023  54.7006917210
   43436  62.6450  65.5371  -0.331  -0.699        0.036      0.051  54.9140695711
   43347  60.6087  64.2326   0.220  -1.281        0.278      0.075  55.0672691206
   43315  59.7039  66.3887  -0.283  -0.690        0.113      0.002  55.2039471673
   43361  60.7402  66.6189  -0.200  -0.835        0.064      0.116  57.5310076187
   43348  60.6988  62.9977  -0.132  -0.701        0.232      0.056  58.4837230261
   43474  63.7452  66.2670  -0.277  -0.771        0.065      0.026  58.5451205397
   43283  59.0012  63.9338   0.226  -0.338        0.603      0.391  58.5635511192
   43455  63.1796  64.4324  -0.268  -0.791        0.062      0.032  58.7290406177
   43321  59.9068  65.4159   0.237  -0.152        0.645      0.518  58.7755817702
   43350  60.6227  65.2070  -0.025  -1.086        0.157      0.025  58.7819568465
   43383  61.3938  64.9387   0.089  -0.504        0.359      0.435  58.9769896236
   43417  62.1949  65.0307  -0.286  -0.743        0.060      0.047  59.6112744433
   43421  62.3481  65.6709  -0.241  -0.829        0.065      0.040  59.8994187290
   43290  59.1274  64.7036  -0.285  -0.629        0.131      0.024  60.5023928186
   43273  58.4950  64.8073   0.155  -1.564        0.093      0.027  60.9200046745
   43452  63.2399  66.6096   0.899  -1.692        0.519      0.520  61.6819934668
   43486  64.0557  63.6390   0.257  -1.300        0.292      0.100  61.7083688065
   43406  61.8774  65.5074  -0.096  -0.675        0.264      0.087  63.4963376727
   43528  65.9189  65.8111  -0.238  -0.752        0.079      0.097  63.6366284312
   43413  62.0897  65.6629  -0.193  -0.715        0.169      0.046  64.2752991266
   43272  58.5481  64.4773   0.194  -0.407        0.557      0.350  64.6674278304
   43422  62.3649  64.8313  -0.208  -0.817        0.099      0.050  65.2180209248
   43296  59.3748  64.0758  -0.210  -0.818        0.092      0.059  65.3662357094
   43267  58.2139  65.1430  -0.265  -0.639        0.136      0.045  65.7482893225
   43449  63.1449  65.0778  -0.173  -0.870        0.095      0.073  66.9761627305
   43519  65.1816  63.7731  -0.224  -0.754        0.093      0.093  67.0258586608
   43460  63.3148  63.5629  -0.215  -0.770        0.113      0.057  67.3421495660
   43481  64.1566  65.6507   0.155  -1.399        0.162      0.055  67.5350853878
   43378  61.2763  65.3747  -0.243  -0.672        0.136      0.054  67.8400758022
   43525  65.5326  65.1813  -0.051  -0.825        0.235      0.084  68.4415361783
   43388  61.4274  63.0563   0.172  -0.544        0.496      0.291  69.4001662904
   43479  63.8914  65.0149  -0.228  -0.717        0.112      0.085  70.3431139411
   43469  63.6557  66.3844  -0.230  -0.689        0.128      0.077  71.6179063225
   43343  60.3778  67.2135  -0.263  -0.596        0.146      0.073  71.9223070730
   43459  63.3632  64.9657  -0.206  -0.715        0.141      0.075  72.1623668076
   43510  65.2773  66.7974  -0.116  -0.660        0.242      0.107  75.4402823359
   43346  60.5903  64.2504  -0.144  -0.793        0.139      0.120  76.4106201526
   43288  59.0533  64.5653  -0.158  -0.669        0.201      0.097  76.7537175536
   43357  60.7759  63.9356   0.869  -1.655        0.536      0.464  77.4531582759
   43251  57.4783  64.7449  -0.230  -0.547        0.155      0.168  77.4804779150
   43505  64.9301  65.7558  -0.180  -0.696        0.162      0.101  77.7174121385
   43405  61.8305  63.5013   0.811  -1.588        0.514      0.461  78.5343960539
   43476  63.8940  65.2695  -0.158  -0.461        0.223      0.263  78.6335631882
   43329  60.2030  66.1901   0.120  -0.369        0.507      0.341  79.5363729182
   43526  65.5851  64.2173  -0.167  -0.653        0.194      0.108  79.8325151652
   43454  63.2227  65.3154  -0.135  -0.658        0.220      0.116  80.5596347657
