runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec
30590,0.9071025710886749,0.1081882951746343,0.3678119934582365,0.33076088676140913,148.9242553711,6,N,158.91553451843825,52.50092288212302
30591,0.8093356258611117,0.11657577514161944,0.30013497104728387,0.27570206511285844,148.9242553711,6,N,158.69213647262018,53.04943004812918
30592,0.4636730240765603,0.09152965038870176,0.31966332586511653,0.3144654528705884,148.9242553711,6,N,158.37455510935573,52.66997398077033
30593,0.8106931514111438,0.08364897977620167,0.39495018639301166,0.37630421194465336,148.9242553711,6,N,158.29502634990698,52.34177043532762
30594,0.7200069959483762,0.08340028499262057,0.4083522813323686,0.3949413265851507,148.9242553711,6,N,158.23024564368845,53.212189669886726
30595,2.1758269608406895,0.06047640324967346,0.8980410424619982,0.8836120276801476,148.9242553711,6,N,158.06872799422652,53.74220214860103
30596,16.380010613421177,0.03513879909703563,5.2950777692511135,5.237896456389084,148.9242553711,6,N,157.93170131645243,52.42715053378799
30597,0.7304278352302338,0.0880060236262118,0.39343947414898417,0.3566640741073351,148.9242553711,6,N,157.86678740774343,53.531521002150846
30598,1.313836246116898,0.11768273714115698,0.3560451374820215,0.31473659061908593,148.9242553711,6,N,157.7273909101757,53.16990325464905
30599,1.1054001599258596,0.07091223445139985,0.6005550185631661,0.5515839273276688,148.9242553711,6,N,157.42625285617848,52.03321376443287
30600,0.663420152225146,0.05576660295628368,0.6361257961320855,0.6144437995274471,148.9242553711,6,N,157.3351363095452,53.441288602134904
30601,1.0864492597844897,0.08112863196588134,0.44406413072469064,0.4317754757612139,148.9242553711,6,N,156.75964751887818,52.415169135625995
30602,0.18780610091615238,0.045919825879340355,0.31505584345135995,0.29979776831224425,148.9242553711,6,N,156.74759071133502,52.91798261040474
30603,0.834186665944006,0.04178300657110573,0.9954563557130129,0.9913695175782576,148.9242553711,6,N,156.69474535146122,53.714049559535894
30604,3.2836568863982367,0.04375650568807481,1.4696086570703526,1.4586175250868223,148.9242553711,6,N,156.56895879464483,52.863972493634
30605,2.613188529809211,0.04310724309367506,1.6117511980157235,1.5578309653953273,148.9242553711,6,N,162.3813372873109,52.75146981466905
30606,0.6289725348111196,0.07327341731724232,0.4749822972334261,0.42881556495163,148.9242553711,6,N,162.15373692401633,52.770482990034274
30607,0.855266748587713,0.10077829567978462,0.4079459085572441,0.3675838519362955,148.9242553711,6,N,162.10638698374962,53.31052892003024
30608,0.29856407719122513,0.0484314284559404,0.4675368439465023,0.43903336038285434,148.9242553711,6,N,161.9485147817699,52.86902444604691
30609,1.9415835252127172,0.10325789332775491,0.680839842477616,0.6182253662451782,148.9242553711,6,N,161.77361047892342,53.73950694531814
30610,0.5030585735849051,0.06107337555231019,0.4846877834087198,0.43823030996340784,148.9242553711,6,N,161.64163507455584,53.21304432099425
30611,5.61000802290229,0.047520418903847075,1.95151852652993,1.9145312016505858,148.9242553711,6,N,161.42727146427475,52.85157002808593
30612,0.6493231068820207,0.10174122259051521,0.3683429938305837,0.32928538635172067,148.9242553711,6,N,161.16080510183272,52.261445672802864
30613,1.7685181887596961,0.14170782957549333,0.4223717604313604,0.3517142919499135,148.9242553711,6,N,161.104697941671,53.2735502298933
